id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
58;2045_scenario;r120640428428-biomass_solid-bpchp_heat_low_central;capacity;biomass_solid;r120640428428;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
59;2045_scenario;r120640472472-biomass_solid-bpchp_heat_low_central;capacity;biomass_solid;r120640472472;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
60;2045_scenario;r120670124124-biomass_solid-bpchp_heat_low_central;capacity;biomass_solid;r120670124124;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
61;2045_scenario;r120670201201-biomass_solid-bpchp_heat_low_central;capacity;biomass_solid;r120670201201;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
62;2045_scenario;;capacity_cost;biomass_solid;ALL;bpchp_heat_low_central;backpressure;293837.723893955;;;
63;2045_scenario;;carrier_cost;biomass_solid;ALL;bpchp_heat_low_central;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
64;2045_scenario;;electric_efficiency;biomass_solid;ALL;bpchp_heat_low_central;backpressure;0.29;;"Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"09a Wood Chips; Large 40 degree"
65;2045_scenario;;expandable;biomass_solid;ALL;bpchp_heat_low_central;backpressure;true;;;
66;2045_scenario;;marginal_cost;biomass_solid;ALL;bpchp_heat_low_central;backpressure;4.05;EUR/MWh;From original raw_cost_eff:;Dummy value
67;2045_scenario;;thermal_efficiency;biomass_solid;ALL;bpchp_heat_low_central;backpressure;0.83;;"Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"09a Wood Chips; Large 40 degree"
68;2045_scenario;r120640428428-biomass_solid-bpchp_heat_low_decentral;capacity;biomass_solid;r120640428428;bpchp_heat_low_decentral;backpressure;0.0;MW;;Zero
69;2045_scenario;r120640472472-biomass_solid-bpchp_heat_low_decentral;capacity;biomass_solid;r120640472472;bpchp_heat_low_decentral;backpressure;0.0;MW;;Zero
70;2045_scenario;r120670124124-biomass_solid-bpchp_heat_low_decentral;capacity;biomass_solid;r120670124124;bpchp_heat_low_decentral;backpressure;0.0;MW;;Zero
71;2045_scenario;r120670201201-biomass_solid-bpchp_heat_low_decentral;capacity;biomass_solid;r120670201201;bpchp_heat_low_decentral;backpressure;0.0;MW;;Zero
72;2045_scenario;;capacity_cost;biomass_solid;ALL;bpchp_heat_low_decentral;backpressure;685938.9934674953;;;
73;2045_scenario;;carrier_cost;biomass_solid;ALL;bpchp_heat_low_decentral;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
74;2045_scenario;;electric_efficiency;biomass_solid;ALL;bpchp_heat_low_decentral;backpressure;0.14;;"Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"09a Wood Chips; Small"
75;2045_scenario;;expandable;biomass_solid;ALL;bpchp_heat_low_decentral;backpressure;true;;;
76;2045_scenario;;marginal_cost;biomass_solid;ALL;bpchp_heat_low_decentral;backpressure;4.05;EUR/MWh;From original raw_cost_eff:;Dummy value
77;2045_scenario;;thermal_efficiency;biomass_solid;ALL;bpchp_heat_low_decentral;backpressure;0.9747;;"Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"09a Wood Chips; Small; gerundet:(0.97+((2045-2030)/(2050-2030))*(0.98-0.97))*10^6"
78;2045_scenario;r120640428428-biomass_solid-commodity;capacity;biomass_solid;r120640428428;commodity;shortage;87013.1010979979;MW;;No limit for import
79;2045_scenario;r120640472472-biomass_solid-commodity;capacity;biomass_solid;r120640472472;commodity;shortage;49803.7487300244;MW;;No limit for import
80;2045_scenario;r120670124124-biomass_solid-commodity;capacity;biomass_solid;r120670124124;commodity;shortage;18807.8136967593;MW;;No limit for import
81;2045_scenario;r120670201201-biomass_solid-commodity;capacity;biomass_solid;r120670201201;commodity;shortage;279777.58070587;MW;;No limit for import
82;2045_scenario;;marginal_cost;biomass_solid;ALL;commodity;shortage;36.16;EUR/MWh;https://www.kea-bw.de/waermewende/wissensportal/kommunale-waermeplanung/einfuehrung-in-den-technikkatalog#c7393-content-2 1.2 Preisentwicklungen_2020_30_40_v1.1.3.xlsx;"average of straw; Hackschnitzel and pellets; 2045 (interpolation)"
83;2045_scenario;r120640428428-electricity-boiler_heat_high;capacity;electricity;r120640428428;boiler_heat_high;conversion;0.0;MW;;Zero
84;2045_scenario;r120640472472-electricity-boiler_heat_high;capacity;electricity;r120640472472;boiler_heat_high;conversion;0.0;MW;;Zero
85;2045_scenario;r120670124124-electricity-boiler_heat_high;capacity;electricity;r120670124124;boiler_heat_high;conversion;0.0;MW;;Zero
86;2045_scenario;r120670201201-electricity-boiler_heat_high;capacity;electricity;r120670201201;boiler_heat_high;conversion;0.0;MW;;Zero
87;2045_scenario;;capacity_cost;electricity;ALL;boiler_heat_high;conversion;5463.823256817183;;;
88;2045_scenario;r120640428428-electricity-boiler_heat_high;capacity_potential;electricity;r120640428428;boiler_heat_high;conversion;;MW;;Empty
89;2045_scenario;r120640472472-electricity-boiler_heat_high;capacity_potential;electricity;r120640472472;boiler_heat_high;conversion;;MW;;Empty
90;2045_scenario;r120670124124-electricity-boiler_heat_high;capacity_potential;electricity;r120670124124;boiler_heat_high;conversion;;MW;;Empty
91;2045_scenario;r120670201201-electricity-boiler_heat_high;capacity_potential;electricity;r120670201201;boiler_heat_high;conversion;;MW;;Empty
