from;r120640428428-biomass_solid;r120640428428-biomass_solid-boiler_heat_high;r120640472472-biomass_solid;r120640472472-biomass_solid-boiler_heat_high;r120670124124-biomass_solid;r120670124124-biomass_solid-boiler_heat_high;r120670201201-biomass_solid;r120670201201-biomass_solid-boiler_heat_high;r120640428428-electricity;r120640428428-electricity-boiler_heat_high;r120640472472-electricity;r120640472472-electricity-boiler_heat_high;r120670124124-electricity;r120670124124-electricity-boiler_heat_high;r120670201201-electricity;r120670201201-electricity-boiler_heat_high;r120640428428-electricity;r120640428428-electricity-electrolyzer;r120640472472-electricity;r120640472472-electricity-electrolyzer;r120670124124-electricity;r120670124124-electricity-electrolyzer;r120670201201-electricity;r120670201201-electricity-electrolyzer;r120640428428-electricity;r120640428428-electricity-heatpump_central;r120640472472-electricity;r120640472472-electricity-heatpump_central;r120670124124-electricity;r120670124124-electricity-heatpump_central;r120670201201-electricity;r120670201201-electricity-heatpump_central;r120640428428-electricity;r120640428428-electricity-heatpump_decentral;r120640472472-electricity;r120640472472-electricity-heatpump_decentral;r120670124124-electricity;r120670124124-electricity-heatpump_decentral;r120670201201-electricity;r120670201201-electricity-heatpump_decentral;r120640428428-electricity;r120640428428-electricity-heatpump_heat_high;r120640472472-electricity;r120640472472-electricity-heatpump_heat_high;r120670124124-electricity;r120670124124-electricity-heatpump_heat_high;r120670201201-electricity;r120670201201-electricity-heatpump_heat_high;r120640428428-h2;r120640428428-h2-boiler_heat_high;r120640472472-h2;r120640472472-h2-boiler_heat_high;r120670124124-h2;r120670124124-h2-boiler_heat_high;r120670201201-h2;r120670201201-h2-boiler_heat_high
to;r120640428428-biomass_solid-boiler_heat_high;r120640428428-heat_high;r120640472472-biomass_solid-boiler_heat_high;r120640472472-heat_high;r120670124124-biomass_solid-boiler_heat_high;r120670124124-heat_high;r120670201201-biomass_solid-boiler_heat_high;r120670201201-heat_high;r120640428428-electricity-boiler_heat_high;r120640428428-heat_high;r120640472472-electricity-boiler_heat_high;r120640472472-heat_high;r120670124124-electricity-boiler_heat_high;r120670124124-heat_high;r120670201201-electricity-boiler_heat_high;r120670201201-heat_high;r120640428428-electricity-electrolyzer;r120640428428-h2;r120640472472-electricity-electrolyzer;r120640472472-h2;r120670124124-electricity-electrolyzer;r120670124124-h2;r120670201201-electricity-electrolyzer;r120670201201-h2;r120640428428-electricity-heatpump_central;r120640428428-heat_low_central;r120640472472-electricity-heatpump_central;r120640472472-heat_low_central;r120670124124-electricity-heatpump_central;r120670124124-heat_low_central;r120670201201-electricity-heatpump_central;r120670201201-heat_low_central;r120640428428-electricity-heatpump_decentral;r120640428428-heat_low_decentral;r120640472472-electricity-heatpump_decentral;r120640472472-heat_low_decentral;r120670124124-electricity-heatpump_decentral;r120670124124-heat_low_decentral;r120670201201-electricity-heatpump_decentral;r120670201201-heat_low_decentral;r120640428428-electricity-heatpump_heat_high;r120640428428-heat_high;r120640472472-electricity-heatpump_heat_high;r120640472472-heat_high;r120670124124-electricity-heatpump_heat_high;r120670124124-heat_high;r120670201201-electricity-heatpump_heat_high;r120670201201-heat_high;r120640428428-h2-boiler_heat_high;r120640428428-heat_high;r120640472472-h2-boiler_heat_high;r120640472472-heat_high;r120670124124-h2-boiler_heat_high;r120670124124-heat_high;r120670201201-h2-boiler_heat_high;r120670201201-heat_high
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-11-12 11:00:00;0.05563164886306136;0.047286901533602155;0.04711673101971325;0.04004922136675626;0.03272365881259702;0.027815109990707465;0.0;0.0;0.00911883473942101;0.0090276463920268;0.007723116111264482;0.007645884950151838;0.0053638826617523104;0.005310243835134787;1.0190211469608284;1.0088309354912202;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8785412732943646;3.9270794916258094;0.0019966771337159876;0.008925146787710465;0.4148050801161114;1.8541787081190177;2.5256356177778505;11.289591211466991;2.527660479074443;11.29864234146276;1.4535570816317447;6.497400154893898;2.5022147380371518;11.184899879026068;0.018554260060942684;0.04861216135966984;0.22274304735070263;0.5835867840588409;0.1547001951670391;0.4053145113376424;4.468235020021491;11.706775752456307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-11-12 12:00:00;0.05563164886306136;0.047286901533602155;0.04711673101971325;0.04004922136675626;0.03272365881259702;0.027815109990707465;0.025641707886117866;0.021795451703200186;0.012765998064699902;0.012638338084052902;0.010812048704384632;0.010703928217340786;0.007509217749411195;0.007434125571917083;1.0592244187936777;1.048632174605741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3010095199853664;5.931302401613285;0.0029383735670003744;0.013396045091954707;0.4067073279488962;1.8541787081190177;2.476330601330772;11.289591211466991;2.478315933639561;11.29864234146276;1.4251809947124146;6.497400154893898;2.4533669399048184;11.184899879026068;0.018344211833837675;0.04861216135966984;0.2202214279467324;0.5835867840588409;0.15294887220288392;0.4053145113376424;4.417651227342003;11.706775752456307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-11-12 13:00:00;0.05563164886306136;0.047286901533602155;0.04711673101971325;0.04004922136675626;0.03272365881259702;0.027815109990707465;1.005674778938913;0.8548235620980762;0.011475481138311195;0.011360726326928083;0.009719056852809058;0.009621866284280967;0.006750109643610164;0.006682608547174063;0.19576627526026746;0.1938086125076648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7937530599508008;3.6925392348911252;0.0018327995842353291;0.008526183665862752;0.0;0.0;2.4268252819146583;11.289591211466991;2.4287709246480564;11.29864234146276;1.3966896291689377;6.497400154893898;2.404320696265277;11.184899879026068;0.018344211833837675;0.04861216135966984;0.2202214279467324;0.5835867840588409;0.15294887220288392;0.4053145113376424;4.417651227342003;11.706775752456307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-11-12 14:00:00;0.05563164886306136;0.047286901533602155;0.04711673101971325;0.04004922136675626;0.03272365881259702;0.027815109990707465;1.005674778938913;0.8548235620980762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8022683524355493;3.714502471776593;0.0018562891570159412;0.008594618796983807;0.2682701199642202;1.2420906554343394;2.4383566331462183;11.289591211466991;2.4403115208342894;11.29864234146276;1.403326167363693;6.497400154893898;2.4157451142604898;11.184899879026068;0.01869698513833455;0.04861216135966984;0.22445645540724649;0.5835867840588409;0.155890196668324;0.4053145113376424;4.502606058637041;11.706775752456307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-11-12 15:00:00;0.02969453712776499;0.02524035655860024;0.02514952454578027;0.02137709586391323;0.01746692613693456;0.014846887216394378;0.5631999324179597;0.47871994255526573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8409325107740807;3.7808325684402675;0.001945145140025546;0.008745372549554856;0.28031679411226257;1.2603043063287327;2.5110300737248643;11.289591211466991;2.5130432254143145;11.29864234146276;1.4451512800030912;6.497400154893898;2.4877446350146943;11.184899879026068;0.019367394964011887;0.04861216135966984;0.23250469484415975;0.5835867840588409;0.16147988499507668;0.4053145113376424;4.664054084643948;11.706775752456307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-11-12 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.361639669791847;5.931302401613285;0.003075308790623211;0.013396045091954707;0.4256608604497286;1.8541787081190177;2.5917335196205213;11.289591211466991;2.5938113731549035;11.29864234146276;1.491597831701997;6.497400154893898;2.567699696746113;11.184899879026068;0.018614138706129955;0.04579078121707969;0.23625904113809076;0.5811972411997033;0.1640873652792147;0.40365491858686814;4.758851931892808;11.706775752456307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-11-12 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3243919572677978;1.1412109056681126;0.0008750406174959055;0.0030783928923505954;0.24786511737184957;0.8719894829141668;3.2090935791549153;11.289591211466991;3.21166638472506;11.29864234146276;1.8469016926929787;6.497400154893898;3.179334814959087;11.184899879026068;0.008419897929665042;0.0205445509483827;0.22943244698736867;0.5598151706491795;0.15934613784247179;0.38880457633563115;4.621347137977117;11.276087016664166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-11-12 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.177362966843193;4.141962917354353;0.002727969701770965;0.009596997410830255;0.38727618517674894;1.3624376194518026;3.2090935791549153;11.289591211466991;3.21166638472506;11.29864234146276;1.8469016926929787;6.497400154893898;3.179334814959087;11.184899879026068;0.002153565109891673;0.005211627565937849;0.22596243278517014;0.5468290873401117;0.15693613276847582;0.3797854412997115;4.551452315284696;11.014514602988966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-11-12 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1366617984802587;4.095392459924373;0.002642665163847558;0.009521522585342753;0.3757437357353056;1.3538046798543062;3.13338640340466;11.289591211466991;3.1358985127568024;11.29864234146276;1.8033306008587004;6.497400154893898;3.1043296916530854;11.184899879026068;0.0;0.0;0.22600631068755328;0.5424151456501278;0.1569666069859337;0.37671985676624087;4.552336126712685;10.925606704110445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-11-12 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1065089648069477;3.9712606746921355;0.002572902359416296;0.009234146567945085;0.367512039957671;1.3190007114080813;3.145609142230981;11.289591211466991;3.1481310508394427;11.29864234146276;1.8103650473373916;6.497400154893898;3.1164390858250397;11.184899879026068;0.0;0.0;0.22620964790254722;0.5406410584870879;0.1571078293819565;0.375487712222876;4.556431850176804;10.889872121922563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
